Date,Station,Depth,COND,Temperature,Salinity,Density,PAR,Fluorescence,Turbidity,Beam,O2conc,O2Saturation
11/09/2012,1,1.346,,16.8389,31.4812,22.8527,1.71E+03,3.1327,1.3913,,165.2259,65.95014
11/09/2012,1,1.345,,16.8371,31.4801,22.8523,2.01E+03,3.1777,1.442,,162.01095,64.66411
11/09/2012,1,1.354,,16.833,31.4811,22.854,1.69E+03,3.2303,1.5023,,158.81818,63.38518
11/09/2012,1,1.36,,16.831,31.4815,22.8548,1.72E+03,3.1525,1.4535,,156.14921,62.31767
11/09/2012,1,1.362,,16.8287,31.4824,22.856,1.50E+03,2.9976,1.3543,,154.61198,61.70184
11/09/2012,1,1.355,,16.8278,31.4827,22.8564,1.66E+03,2.9816,1.347,,153.10123,61.09789
11/09/2012,1,1.342,,16.8301,31.4803,22.854,1.70E+03,2.9244,1.3177,,151.68947,60.53639
11/09/2012,1,1.342,,16.8334,31.4767,22.8505,1.51E+03,2.9206,1.3158,,150.45955,60.04801
11/09/2012,1,1.356,,16.8353,31.4745,22.8484,1.33E+03,2.8862,1.2929,,149.32248,59.59563
11/09/2012,1,1.368,,16.8344,31.475,22.849,1.61E+03,2.887,1.2929,,148.19637,59.14534
11/09/2012,1,1.361,,16.8351,31.476,22.8496,1.85E+03,2.6085,1.4329,,147.1725,58.73792
11/09/2012,1,1.349,,16.8336,31.4774,22.851,1.76E+03,2.5933,1.4405,,146.12896,58.32017
11/09/2012,1,1.347,,16.8331,31.4763,22.8502,1.69E+03,2.5063,1.3798,,145.28728,57.98332
11/09/2012,1,1.35,,16.8385,31.4713,22.8452,1.51E+03,2.488,1.3669,,144.36948,57.62137
11/09/2012,1,1.35,,16.8443,31.467,22.8406,1.71E+03,2.578,1.3329,,143.57665,57.30985
11/09/2012,1,1.356,,16.8514,31.4618,22.8349,1.73E+03,2.6184,1.3177,,142.72582,56.97629
11/09/2012,1,1.356,,16.8553,31.4598,22.8325,1.86E+03,2.5086,1.3562,,141.76582,56.59672
11/09/2012,1,1.354,,16.8496,31.4648,22.8377,1.86E+03,2.4262,1.3852,,140.99017,56.28252
11/09/2012,1,1.35,,16.8432,31.4692,22.8425,1.71E+03,2.4422,1.3104,,140.13812,55.93689
11/09/2012,1,1.347,,16.8458,31.4654,22.839,1.60E+03,2.4628,1.215,,139.40148,55.64442
11/09/2012,1,1.352,,16.8523,31.4588,22.8324,1.68E+03,2.504,1.2238,,138.66795,55.35639
11/09/2012,1,1.368,,16.858,31.4532,22.8269,1.48E+03,2.5933,1.244,,137.99276,55.09114
11/09/2012,1,1.375,,16.8603,31.4515,22.825,1.51E+03,2.5742,1.236,,137.31231,54.82134
11/09/2012,1,1.365,,16.862,31.4505,22.8238,1.40E+03,2.488,1.2025,,136.89613,54.65663
11/09/2012,1,1.353,,16.8628,31.4494,22.8228,1.68E+03,2.4857,1.2005,,136.59542,54.53708
11/09/2012,1,1.351,,16.8678,30.4506,22.0563,1.73E+03,2.4506,1.1712,,137.05758,54.39674
