 ID,Station,Depth,SiO4,NO3+2,PO4,NH4,Bacteria Conc (cell/ml),Viral Conc (cell/ml),Chl Total,CHL <20um,CHL<3um,Flowcam Biomass
1,1,2,1.06,1.18,0.48,1.42,5.56E+06,3.08E+07,8.5595,1.995409699,0.310597709,1.28E+05
1,1,10,0.61,0.97,0.48,1.34,6.59E+06,3.74E+07,9.4154,,,
1,1,35,0.71,2.05,0.49,1.34,2.08E+06,1.47E+07,9.4154,,,
1,2,2,1.89,1.23,0.46,1.45,4.77E+06,2.75E+07,6.9332,2.997629051,0.265452693,1.25E+05
1,2,10,0.84,1.32,0.43,1.24,6.67E+06,3.65E+07,7.8462,,,
1,2,20,2.14,1.51,0.51,1.66,4.34E+06,2.40E+07,8.8733,,,
1,3,2,0.03,0.94,0.16,1.02,4.97E+06,2.66E+07,0.8189,4.397124541,0.480342968,1.57E+05
1,3,10,0.19,0.84,0.26,0.90,5.48E+06,3.04E+07,7.7035,,,
1,3,40,11.18,9.69,1.05,1.05,3.59E+06,2.71E+07,7.0758,,,
1,4,2,-0.01,1.01,0.07,0.92,2.52E+06,2.56E+07,NA,3.710920301,0.394567438,1.46E+05
1,4,10,NA,NA,NA,NA,2.37E+06,2.28E+07,NA,,,
1,4,40,NA,NA,NA,NA,2.00E+06,1.95E+07,5.6612,,,
2,1,2,6.79,4.35,0.86,2.53,2.15E+06,1.70E+07,2.5193,2.40,0.18,3.60E+04
2,1,10,6.74,4.66,0.89,2.58,2.58E+06,2.05E+07,2.4937,,,
2,1,35,6.93,4.68,0.86,2.56,2.03E+06,1.55E+07,2.4851,,,
2,2,2,6.78,7.42,0.88,6.09,2.04E+06,1.72E+07,2.2997,1.76,0.38,4.35E+04
2,2,10,6.73,7.30,0.88,5.87,2.10E+06,1.82E+07,2.4109,,,
2,2,20,6.67,4.89,0.94,2.39,1.99E+06,1.96E+07,2.1998,,,
2,3,2,0.18,0.26,0.09,0.28,1.69E+06,1.30E+07,0.8845,4.68,1.66,3.02E+05
2,3,10,1.39,0.45,0.22,0.32,1.64E+06,1.50E+07,9.0445,,,
2,3,40,9.09,8.17,0.93,0.46,1.52E+06,1.53E+07,10.8706,8.52,0.39,
2,4,2,0.07,0.72,0.08,0.32,1.07E+06,4.79E+06,0.4803,,,3.93E+05
2,4,10,0.49,1.61,0.30,1.69,1.58E+06,1.80E+07,9.0832,,,
2,4,40,7.27,9.54,0.86,0.87,1.65E+06,2.02E+07,0.2154,,,
3,1,2,3.49,3.72,0.66,4.28,2.52E+06,2.56E+07,1.9683,1.018579905,0.230239581,7.32E+04
3,1,10,3.04,1.69,0.59,1.70,2.37E+06,2.28E+07,2.4107,,,
3,1,35,5.07,2.87,0.77,2.28,2.00E+06,1.95E+07,2.4198,,,
3,2,2,5.01,5.02,0.81,5.09,2.15E+06,1.70E+07,1.9232,1.007167245,0.727557075,6.56E+04
3,2,10,3.84,4.59,0.65,5.25,2.58E+06,2.05E+07,2.0044,,,
3,2,20,5.21,6.59,0.83,6.91,2.03E+06,1.55E+07,2.0857,,,
3,3,2,1.36,1.43,0.41,1.58,2.04E+06,1.72E+07,0.9672,1.41516984,0.332267316,1.16E+05
