Depth (M),Temp (deg C),Salinity (PSU),Density (kg/m^3),PAR/Irradiance,Fluorescence (mg/m^3),Turbidity (NTU),Beam Attenuation,Oxygen (umol/kg),Oxygen (% sat)
1.092,11.2509,32.8428,25.0514,9.40E+02,0.6973,0.2675,0.8422,197.982,72.912
1.19,11.2501,32.8462,25.0541,1.08E+03,0.7088,0.2453,0.8378,209.816,77.27
1.345,11.252,32.8457,25.0534,5.71E+02,0.708,0.2457,0.8404,222.44,81.922
1.425,11.2532,32.8475,25.0546,1.80E+02,0.6721,0.2633,0.8431,232.795,85.74
1.528,11.2554,32.8485,25.0549,1.31E+02,0.6714,0.2636,0.8394,238.189,87.731
1.696,11.2558,32.8497,25.0558,1.44E+02,0.7347,0.2533,0.8393,237,87.294
1.862,11.2567,32.8498,25.0558,1.36E+02,0.7454,0.2514,0.8438,236.121,86.972
2.012,11.2567,32.8509,25.0566,1.18E+02,0.7278,0.2694,0.8423,235.378,86.699
2.176,11.2564,32.8516,25.0572,1.24E+02,0.721,0.2759,0.8406,234.637,86.426
2.313,11.2546,32.8526,25.0583,1.23E+02,0.7057,0.2938,0.8371,234.314,86.305
2.42,11.2549,32.8511,25.0571,1.19E+02,0.6958,0.3064,0.8366,233.884,86.146
2.565,11.2561,32.8525,25.058,1.09E+02,0.6897,0.2972,0.8345,233.678,86.073
2.775,11.2571,32.853,25.0582,1.09E+02,0.6836,0.2877,0.8337,233.444,85.989
3.015,11.2566,32.8537,25.0588,1.07E+02,0.7187,0.3006,0.8323,233.051,85.844
3.215,11.2564,32.8541,25.0592,1.03E+02,0.7828,0.3243,0.8353,232.682,85.708
3.363,11.2561,32.8543,25.0594,9.67E+01,0.7935,0.3254,0.8364,232.308,85.569
3.508,11.256,32.8555,25.0603,9.48E+01,0.8308,0.3304,0.835,231.879,85.412
3.698,11.2557,32.8564,25.0611,9.46E+01,0.8408,0.3289,0.8361,231.827,85.393
3.962,11.2563,32.8568,25.0613,9.41E+01,0.9293,0.3121,0.8371,231.841,85.399
4.25,11.2559,32.8572,25.0617,9.16E+01,0.9293,0.3121,0.8386,232.024,85.466
4.529,11.2563,32.8574,25.0618,8.71E+01,0.9483,0.3361,0.8395,232.26,85.554
4.809,11.2566,32.8577,25.062,8.46E+01,0.9491,0.3365,0.8354,232.73,85.728
5.015,11.258,32.8584,25.0622,8.64E+01,1.062,0.3369,0.8342,233.059,85.852
